ï»¿id;id_ex;siret;rup_mi;gestion;date_creat;date_decla;date_publi;date_disso;nature;groupement;titre;titre_court;objet;objet_social1;objet_social2;adrs_complement;adrs_numvoie;adrs_repetition;adrs_typevoie;adrs_libvoie;adrs_distrib;adrs_codeinsee;adrs_codepostal;adrs_libcommune;adrg_declarant;adrg_complemid;adrg_complemgeo;adrg_libvoie;adrg_distrib;adrg_codepostal;adrg_achemine;adrg_pays;dir_civilite;siteweb;publiweb;observation;position;maj_time
W131001291;0131004292;;;131S;1988-12-21;2018-06-08;1989-02-01;0001-01-01;D;S;YANKEE NORD MARSEILLE;YANKEE NORD MARSEILLE;"soutenir par tous moyens le club de football de l'olympique de Marseille et de promouvoir l'image de marque du club tant par sa prÃ©sence dans toutes ses enceintes sportives en France et Ã  l'Ã©tranger,que par le respect des lois et rÃ¨glements, de la fraternitÃ© et de la non-violence entre supporters de clubs diffÃ©rents;dÃ©fendre les valeurs nobles du football en tant que sport qui doivent Ãªtre respectÃ©s par l'ensemble des parties prenantes:joueurs, spectateurs,instances dirigeantes;se donner pour objectif d'Ãªtre pour les autres spectateurs un modÃ¨le de courtoisie sportive, de libertÃ© d'opinion et de lutter pacifiquement contre toutes les formes de discrimination, de violence ou de ""hooliganisme""; ester en justice devant les juridictions, civiles, administratives ou pÃ©nales pour la dÃ©fense:des intÃ©rÃªts de ses membres et des supporters de l'olympique de Marseille,des intÃ©rÃªts du club de football de l'olympique de Marseille;de ses propres intÃ©rÃªts patrimoniaux ou extra patrimoniaux, y compris Ã  l'encontre du club de football de l'olympique de Marseille;participer Ã  la promotion, au rayonnement et Ã  l'attractivitÃ© de la culture marseillaise et du patrimoine local";011075;000000;20 BIS AVENUE DU 8 MAI 1945;; ;;;_;13106;13240;SeptÃ¨mes-les-Vallons;;20 BIS AVENUE DU 8 MAI 1945;;;;13240;SEPTEMES LES VALLONS;FRANCE;PM;;0;;A;2018-06-08 10:26:28
W131001297;0131001227;;;131S;1982-11-12;2024-10-15;1982-12-01;0001-01-01;D;S;FOOTBALL CLUB FUVEAU PROVENCE (F.C.F.P);FOOTBALL CLUB FUVEAU PROVENCE (F.C....;promouvoir la formation et la pratique du football;011400;011075;Stade Paul Prieur;; ;QUAR;des Vertus;BP17_;13040;13710;Fuveau;;;;STADE PAUL PRIEUR QUARTIER DES VERTUS;;13710;FUVEAU;FRANCE;PM;;0;;A;2024-10-15 11:46:51
W131001384;0131025070;;;131S;2003-10-21;2025-10-23;2003-11-22;0001-01-01;D;S;FOOTBALL CLUB AIXOIS (F.C.A);F.C.A;DEVELOPPER LA PRATIQUE DU FOOTBALL AU SEIN D'UN CLUB SPORTIF;011075;000000;stade de la MoliÃ¨re;; ;RTE;de Galice;_;13001;13090;Aix-en-Provence;;;;24 BOULEVARD DU DR ALBERT SCHWEITZER;;13090;AIX EN PROVENCE;FRANCE;PM;;0;;A;2026-04-24 18:00:02
W131001391;0131022758;;;131S;2000-07-11;2006-06-14;2000-07-29;0001-01-01;D;S;ASSOCIATION SPORTIVE DE CONFORAMA;ASSOCIATION SPORTIVE DE CONFORAMA;PRATIQUE DU FOOTBALL;011075;000000;CONFORAMA PLAN DE CAMPAGNE;; ;;;_CD6 LA GAVOTTE;13071;13170;Les Pennes-Mirabeau;;CONFORAMA PLAN DE CAMPAGNE;;;CD6 LA GAVOTTE;13170;LES PENNES MIRABEAU;FRANCE;PM;;0;;A;2008-08-11 17:35:31
W131001416;0131001196;;;131S;1922-10-11;2022-12-21;1922-11-21;0001-01-01;D;S;ETOILE SPORTIVE MILLOISE;ETOILE SPORTIVE MILLOISE;DEVELOPPEMENT DES SPORTS PAR LA PRATIQUE DU FOOTBALL;011075;000000;L OUSTAOU DOU BALOUN;; ;;;_STADE MARIUS REQUIER;13001;13090;Aix-en-Provence;;L OUSTAOU DOU BALOUN;;8 RUE DE LA VERDIERE;;13090;AIX EN PROVENCE;FRANCE;PM;;0;;A;2023-06-22 18:00:02
W131001546;;;;131S;2006-11-21;2006-11-21;2006-11-21;0001-01-01;D;S;ETOILE FILANTE GARDANNAISE EFG;ETOILE FILANTE GARDANNAISE EFG;LA PRATIQUE D UN SPORT (LE FOOTBALL);011075;000000;;18; ;PL;ferrer;_;13041;13120;Gardanne;;;;18  Place ferrer;;13120;GARDANNE;FRANCE;PM;;0;;A;2008-08-11 17:35:31
W131001577;;;;131S;2006-11-28;2006-11-28;2006-11-28;0001-01-01;D;S;L OLYMPIQUE D EGUILLES;L OLYMPIQUE D EGUILLES;CONSTITUER UNE STRUCTURE FOOTBALLISTIQUE SPORTIVE;011075;000000;;13 B;B;RUE;DE LA TREILLE;_;13032;13510;Ã‰guilles;;;;13 B Rue DE LA TREILLE;;13510;EGUILLES;FRANCE;PM;;0;;A;2008-08-11 17:35:31
W131001613;0131003047;;;131S;1929-04-05;2025-02-28;1929-04-05;0001-01-01;D;S;SPORTING CLUB DE SAINT CANNAT;SPORTING CLUB DE SAINT CANNAT;"PROMOUVOIR LA PRATIQUE ET LE DEVELOPPEMENT DU FOOTBALL
DE GERER ET D ANIMER DES ACTIVITES SPORTIVES ORGANISEES  PAR LE DISTRICT DE PROVENCE ET LA LIGUE MEDITERRANEE DE FOOTBALL
D APPORTER SA CONTRIBUTION A LA FORMATION D ARBITRES ET D EDUCATEURS
D ENTREPRENDRE TOUTES ACTIONS POUR FAVORISER ET AIDER LE DEVELOPPEMENT ET L AMELIORATION DE LA PRATIQUE DU FOOTBALL  A ST CANNAT ET SUR SA REGION AFIN DE CONTRIBUER AU RAYONNEMENT DE LA VILLE.";011075;015000;STADE ALBERT BARRE;; ;BD;MARCEL PARRAUD;_;13091;13760;Saint-Cannat;;STADE ALBERT BARRE;;BOULEVARD MARCEL PARRAUD;;13760;ST CANNAT;FRANCE;PM;;0;;A;2025-08-30 18:00:02
W131001630;65/75;;;131S;1975-03-20;2022-02-15;1975-04-09;0001-01-01;D;S;ASSOCIATION SPORTIVE DE COUDOUX FOOTBALL;ASSOCIATION SPORTIVE DE COUDOUX;"DE DEVELOPPER LA PRATIQUE DES SPORTS
DE RESSERER LES LIENS DE CAMARADERIE ET DE SOLIDARITE QUI LES UNISSSENT
D ORGANISER DES FETES CONCERTS CONFERENCES REUNIONS POUR LE BIEN DE L ASSOCIATION
DEVITER TOUTE DISCUSSION PHILOSOPHIQUE POLITIQUE  OU RELIGIEUSE AU SEIN DE CETTE ASSOCIATION";011005;011005;Mairie;;;PL;Jean Lapierre;;13118;13111;Coudoux;;;;13 RUE MARCEL PAGNOL;;13111;COUDOUX;FRANCE;PM;;1;;A;2022-08-17 20:00:03
W131001770;0131004738;;;131S;1927-03-06;2026-05-22;1927-04-01;0001-01-01;D;S;FOOTBALL CLUB LAMBESCAIN (FCL);FOOTBALL CLUB LAMBESCAIN (FCL);. PROPAGATION DES SPORTS ET EN PARTICULIER LE FOOBALL;011075;000000;;;;;STADE CHARLES SERRE;_;13050;13410;Lambesc;;;;STADE CHARLES SERRE;;13410;LAMBESC;FRANCE;PM;;0;;A;2026-06-08 12:56:48
